,Products bought by the customer,New products bought by the customer
Customer_827,Milföy;Kuru kayısı;Nohut;Acı Sos;Makarna;Karides;Domates salçası;Makarna;Kuru İncir;Kalem;Susam;Böğürtlen;Bezelye;Köfte harcı;Kalamar;Pizza;Erişte;Tavuk Bulyon;Yer fıstığı;Tavuk Bulyon;Kuru kayısı,Kurutulmuş Kivi
Customer_504,Kırmızı mercimek;Ton balığı;Papatya çayı;Tavuk Bulyon;Bezelye;Meksika fasülyesi;Şehriye;Böğürtlen;Kuru üzüm;Tarçın;Biber salçası;Kalamar;Zeytinyağı;Patlıcan;Limon sos;Sirke;Jelibon;Patlıcan;Yulaf;Erişte;Cips;Karides;Krem şanti;Sarımsak sosu;Susam,Kinoa tohumu
Customer_488,Fasulye turşu;Viski;Baldo pirinç;Fasulye turşu;Toz şeker;Yoğurt;Közlenmiş biber;Biber salçası;Ayçiçek yağı;Krem şanti;Zeytinyağı;Kırmızı mercimek;Karides;Karides;Yeşil çay;Baldo pirinç;Kuru üzüm;Yer fıstığı;Domates salçası,Karamelli likör
Customer_842,Karides;Acı Sos;Yer fıstığı;Krem şanti;Bezelye;Milföy;Nane likörü;Köfte harcı;Domates salçası;Domates salçası;Böğürtlen;Soya sosu;Beyaz şarap;Bisküvi;Karabiber;Garnitür;Kırmızı mercimek;Kuru dut;İçli Köfte;Kalamar;Patlıcan;Acı Sos;Nar ekşisi;Köfte harcı,Kurutulmuş Kivi
Customer_282,Nemlendirici bakım kremi;Şehriye;Çörek otu;Soya sosu;Yoğurt;Kırmızı mercimek;Ayçiçek yağı;Kırı üzüm;Limon sos;İçli Köfte;Şampuan;Susam;Yoğurt;İçli Köfte;Güneş kremi;Kurabiye;Diş fırçası;Yer fıstığı;El mantısı;Tavuk Bulyon;Sarımsak sosu;Patates;Kuru İncir,Peeling krem
Customer_697,Ketçap;Nar ekşisi;Krem şanti;Toz şeker;Tarçın;Krem şanti;Karides;Şampuan;El mantısı;Vücut losyonu;Diş fırçası;Kalem;Domates salçası;Zeytinyağı;Şehriye;Diş macunu;Zeytinyağı;Şehriye;Sirke;Bisküvi;Kahve likörü;Garnitür;Makarna;Tarçın,Peeling krem
Customer_951,Nar ekşisi;Vücut losyonu;Kalamar;Güneş kremi;Bisküvi;Nemlendirici bakım kremi;Tavuk Bulyon;Kuru İncir;Patlıcan;Karabiber;Köfte;Bezelye;Sirke;Yoğurt;Şampuan;Baldo pirinç;Kırmızı mercimek;Saç boyası;Çörek otu,Peeling krem
Customer_216,Beyaz şarap;Karides;Keçi boynuzu;Kuru üzüm;Karides;Tavuk Bulyon;Ketçap;Yer fıstığı;Kırmızı şarap;Susam;Meksika fasülyesi;Köfte;Garnitür;Krem şanti;Kalem;Böğürtlen;Yoğurt;Toz şeker;El mantısı;Biber salçası;Çörek otu;El mantısı;Fasulye turşu,Karamelli likör
Customer_509,Sirke;Un;Ton balığı;Limon sos;Karides;Kırmızı mercimek;Böğürtlen;Meksika fasülyesi;İçli Köfte;Yulaf;Kalem;Pizza;Keçi boynuzu;Nar ekşisi;Köfte harcı;Tarçın;Yeşil çay;Garnitür;Kalamar;İçli Köfte;Ihlamur;Acı Sos;Erişte;Böğürtlen;El mantısı;Yulaf,Kinoa tohumu
Customer_175,Çikolata;Makarna;Kırmızı şarap;Susam;Ayçiçek yağı;Baldo pirinç;Böğürtlen;Domates salçası;Kalamar;Sarımsak sosu;Ayçiçek yağı;Güneş kremi;Çörek otu;Erişte;Şehriye;Kalamar;Patates;Diş fırçası;Bezelye;Kurabiye;Nemlendirici bakım kremi,Peeling krem
Customer_113,Nar ekşisi;Yer fıstığı;Sirke;Baldo pirinç;Kalem;Garnitür;Limon sos;Nohut;Köfte harcı;Fasulye turşu;Fasulye turşu;Soya sosu;Yeşil çay;Yulaf;Kurabiye;Bira;Bisküvi;Patlıcan;Nane likörü,Karamelli likör
Customer_163,Kırmızı mercimek;Fasulye turşu;Çörek otu;Zeytinyağı;Közlenmiş biber;Sarımsak sosu;Kuru üzüm;Köfte harcı;Fasulye turşu;Kalem;Bira;Şehriye;Saç boyası;Bisküvi;Toz şeker;Garnitür;Yoğurt;Domates salçası;Erişte;Nane likörü;Kalamar;El mantısı;Nar ekşisi;Kurabiye;Çikolata;Viski;Tavuk Bulyon;Baldo pirinç;Un;Sarımsak sosu,Karamelli likör
Customer_107,Kırı üzüm;Patates;Patlıcan;Domates salçası;Çörek otu;Sarımsak sosu;Baldo pirinç;Keçi boynuzu;Meksika fasülyesi;Közlenmiş biber;Yeşil çay;Limon sos;Patates;Zeytinyağı;Kuru kayısı;Susam;Un;Yoğurt;Yer fıstığı,Kurutulmuş Kivi
Customer_847,Nohut;Közlenmiş biber;Kırı üzüm;El mantısı;Toz şeker;Karides;Fasulye turşu;Sarımsak sosu;Bisküvi;Un;Kuru kayısı;Baldo pirinç;Krem şanti;Limon sos;Milföy;Kuru İncir;Acı Sos;Karides,Kurutulmuş Kivi
Customer_131,Pizza;Yer fıstığı;Biber salçası;Baldo pirinç;Közlenmiş biber;Jelibon;Toz şeker;Nar ekşisi;Sirke;Yeşil çay;Tavuk Bulyon;Milföy;Ihlamur;Meksika fasülyesi;Ihlamur;Krem şanti;Bisküvi;Meksika fasülyesi;Keçi boynuzu;Domates salçası;Garnitür,Kinoa tohumu
Customer_577,Nane likörü;Fasulye turşu;Kuru üzüm;Karides;Karabiber;Köfte harcı;Kuru üzüm;Susam;Pizza;Kalem;Fasulye turşu;Biber salçası;El mantısı;İçli Köfte;Karides;Cips;Sirke;El mantısı;Şehriye;Erişte;Kırmızı şarap,Karamelli likör
Customer_557,Biber salçası;Kurabiye;Baldo pirinç;Karabiber;Tavuk Bulyon;Patlıcan;Kalem;Keçi boynuzu;Bira;Nohut;Çikolata;Domates salçası;Makarna;Ton balığı;Nar ekşisi;Baldo pirinç;Susam;Patates;Un,Kinoa tohumu
Customer_572,Patlıcan;Közlenmiş biber;Bezelye;Nar ekşisi;Közlenmiş biber;Karides;Keçi boynuzu;Keçi boynuzu;Nar ekşisi;Un;Meksika fasülyesi;Jelibon;Ton balığı;Karabiber;Yeşil çay;Tarçın;Domates salçası;Bezelye;El mantısı;Ketçap;Patates;Nohut,Kinoa tohumu
Customer_465,Kuru üzüm;Patlıcan;Sirke;Karides;Nane likörü;Beyaz şarap;Zeytinyağı;Kırı üzüm;Çörek otu;Tarçın;İçli Köfte;Bezelye;Biber salçası;Bisküvi;Kahve likörü;Tavuk Bulyon;Kırmızı şarap;Fasulye turşu;Acı Sos;Cips,Karamelli likör
Customer_374,Papatya çayı;Diş fırçası;Patates;Limon sos;Biber salçası;Domates salçası;Vücut losyonu;Saç boyası;Çörek otu;Milföy;Acı Sos;Garnitür;Şehriye;Garnitür;Diş macunu;Zeytinyağı;Karabiber;Nemlendirici bakım kremi;Soya sosu;Tarçın;Kalamar,Peeling krem
Customer_467,Fasulye turşu;Bezelye;Biber salçası;Köfte;Güneş kremi;Bezelye;Nohut;Şampuan;Makarna;Tarçın;Kuru kayısı;Zeytinyağı,Peeling krem
Customer_931,Zeytinyağı;Çikolata;Nane likörü;Limon sos;Kahve likörü;Soya sosu;Karides;Kalem;Tavuk Bulyon;Beyaz şarap;Makarna;Kırmızı şarap;Patates;Karabiber;Toz şeker;Tarçın;Cips;Krem şanti;Közlenmiş biber;Köfte;Toz şeker;Kuru kayısı;Kuru İncir,Karamelli likör
Customer_569,Kırmızı mercimek;İçli Köfte;Kırmızı mercimek;Keçi boynuzu;Domates salçası;Patates;Yulaf;Ihlamur;Köfte;Ketçap;Erişte;Limon sos;Bezelye;Limon sos;Biber salçası;Yeşil çay;Un;Krem şanti;Acı Sos;Karides;Ton balığı;Köfte;Sarımsak sosu,Kinoa tohumu
Customer_524,Kurabiye;Bezelye;Krem şanti;Diş macunu;Sirke;Saç kremi;Karides;Saç kremi;Saç boyası;Karabiber;Limon sos;Patates;Fasulye turşu;Yoğurt;Vücut losyonu;Milföy;Nar ekşisi;Nemlendirici bakım kremi;Domates salçası;Sarımsak sosu;Karides;Sirke;Kalamar;Güneş kremi;Köfte;Baldo pirinç;Zeytinyağı;Vücut losyonu,Peeling krem
Customer_29,Saç kremi;Acı Sos;Tarçın;Nemlendirici bakım kremi;Kuru kayısı;Nohut;Köfte harcı;Domates salçası;Garnitür;Böğürtlen;Ketçap;Un;Limon sos;Erişte;Sirke;Un;Yer fıstığı;Patates;İçli Köfte;Kuru İncir,Kurutulmuş Kivi
Customer_992,Saç kremi;Böğürtlen;Susam;Ayçiçek yağı;Makarna;Papatya çayı;Jelibon;Patlıcan;Jelibon;Ihlamur;Yer fıstığı;Meksika fasülyesi;Yeşil çay;Biber salçası;El mantısı;Domates salçası;Tarçın;Toz şeker;Yoğurt,Kinoa tohumu
Customer_642,Yeşil çay;Tavuk Bulyon;Kuru üzüm;Kırmızı şarap;Un;Zeytinyağı;Bira;Çörek otu;Keçi boynuzu;Un;Jelibon;Baldo pirinç;Patlıcan;Nar ekşisi;Karides;Bisküvi;Şehriye;Domates salçası;Patates;Nane likörü;Soya sosu,Karamelli likör
Customer_417,Ketçap;Karabiber;Erişte;Karides;Fasulye turşu;Ihlamur;Çörek otu;Ton balığı;Yeşil çay;Papatya çayı;Kalamar;Bisküvi;Biber salçası;Sirke;Kırı üzüm;Milföy,Kinoa tohumu
Customer_929,Güneş kremi;Limon sos;Saç kremi;Közlenmiş biber;Erişte;Acı Sos;Nar ekşisi;Toz şeker;Diş fırçası;Böğürtlen;Baldo pirinç;Nemlendirici bakım kremi;Şampuan;Kalamar;Un;Pizza;Ketçap;Patates;Saç boyası;Saç boyası,Peeling krem
Customer_752,Kırmızı mercimek;Viski;Ketçap;Nar ekşisi;Kırı üzüm;Kalamar;İçli Köfte;Krem şanti;Kuru İncir;Yoğurt;Kalem;Bisküvi,Kurutulmuş Kivi
Customer_268,Nane likörü;Toz şeker;Kurabiye;Nemlendirici bakım kremi;Krem şanti;Beyaz şarap;Kırmızı mercimek;Köfte;Domates salçası;Ayçiçek yağı;Kırmızı mercimek;Jelibon;Vücut losyonu;Sirke;Közlenmiş biber;Milföy;Garnitür;Sarımsak sosu;Karabiber;Patates;Milföy;Baldo pirinç,Peeling krem
Customer_422,Bisküvi;Erişte;Tavuk Bulyon;Kurabiye;El mantısı;Soya sosu;Toz şeker;Yeşil çay;Kuru kayısı;Çörek otu;Erişte;Krem şanti;Sirke;Krem şanti;Kuru İncir;Zeytinyağı;Kırmızı mercimek;Karabiber;El mantısı;İçli Köfte;Papatya çayı;Nar ekşisi;Fasulye turşu;Meksika fasülyesi,Kinoa tohumu
Customer_816,Közlenmiş biber;Kuru dut;Kırmızı mercimek;Tarçın;Kuru kayısı;Un;Tarçın;Milföy;Fasulye turşu;Köfte harcı;Kırmızı mercimek;Nohut;Kuru kayısı;Makarna;Şehriye;Garnitür;Jelibon;Tavuk Bulyon;Kurabiye;Sarımsak sosu;Erişte;El mantısı,Kurutulmuş Kivi
Customer_154,El mantısı;Köfte;Biber salçası;Ayçiçek yağı;Soya sosu;Ton balığı;Baldo pirinç;Yeşil çay;Köfte harcı;Keçi boynuzu;Sarımsak sosu;Böğürtlen;Papatya çayı;Tavuk Bulyon;Patates;Meksika fasülyesi;Sirke;Çörek otu;Nohut;Soya sosu;Nohut;Kalem;Ayçiçek yağı;Yulaf;Kalamar;Ton balığı;Yoğurt,Kinoa tohumu
Customer_178,Yeşil çay;Ihlamur;Kurabiye;Ton balığı;Yoğurt;Meksika fasülyesi;Kalamar;Garnitür;Kalamar;Limon sos;Tarçın;Bezelye;Susam;Köfte harcı;Yulaf;Yeşil çay;Böğürtlen;Kırmızı mercimek,Kinoa tohumu
Customer_760,Yoğurt;Acı Sos;Makarna;Şehriye;Karides;Tarçın;Soya sosu;Kalamar;Beyaz şarap;Ayçiçek yağı;Ketçap;Kurabiye;Jelibon;Susam;Makarna;Viski;Köfte harcı;Tavuk Bulyon;Acı Sos;Baldo pirinç,Karamelli likör
Customer_460,Köfte;Nohut;Yeşil çay;Acı Sos;Toz şeker;Papatya çayı;Çörek otu;Krem şanti;Közlenmiş biber;Patlıcan;Erişte;Nohut;Böğürtlen;İçli Köfte;Ton balığı;Yoğurt;İçli Köfte;Yulaf;Nar ekşisi;Kalamar;Pizza;Krem şanti;Meksika fasülyesi,Kinoa tohumu
Customer_753,Makarna;Köfte;Karides;Kurabiye;Erişte;Kırmızı şarap;Bezelye;Tavuk Bulyon;Nane likörü;Erişte;Nar ekşisi;Zeytinyağı;Ihlamur;Cips;Pizza;Krem şanti;Sarımsak sosu;Közlenmiş biber;Çörek otu,Karamelli likör
Customer_15,Kırmızı şarap;Cips;Kuru kayısı;Karides;Köfte;Kurabiye;Sirke;Jelibon;Kırı üzüm;Un;Böğürtlen;Viski;Ketçap;Yoğurt;Kurabiye;Kuru üzüm,Karamelli likör
Customer_815,Acı Sos;Kurabiye;Çörek otu;Közlenmiş biber;Milföy;Ketçap;Yer fıstığı;Sarımsak sosu;Böğürtlen;Meksika fasülyesi;Baldo pirinç;Toz şeker;İçli Köfte;Papatya çayı;Nohut;Karides;Tavuk Bulyon;Susam;Kuru kayısı;Bisküvi;Kuru dut;Makarna;Çörek otu,Kurutulmuş Kivi
Customer_606,Erişte;Biber salçası;Şehriye;Makarna;Kuru dut;Kuru kayısı;Limon sos;Köfte harcı;El mantısı;Acı Sos;Kuru dut;Susam;Nar ekşisi;Kalamar;Ketçap;Kalem;Nohut;Kırı üzüm,Kurutulmuş Kivi
Customer_338,Çikolata;Milföy;Kuru dut;Sarımsak sosu;Garnitür;Tarçın;Çörek otu;Kuru İncir;Beyaz şarap;Krem şanti;Pizza;Çörek otu;Ayçiçek yağı;Nohut;Yer fıstığı;Kırmızı mercimek;Köfte;Baldo pirinç;Kurabiye;Köfte harcı,Karamelli likör
Customer_833,Jelibon;Kırmızı mercimek;Nohut;Soya sosu;Yer fıstığı;Garnitür;Bira;Limon sos;Susam;Sarımsak sosu;Viski;Karabiber;Kuru dut;Patates;Beyaz şarap;Kurabiye;Kuru üzüm;Domates salçası;Nane likörü;Makarna;İçli Köfte;Pizza;Kahve likörü;Soya sosu;Kırmızı şarap;Fasulye turşu;Tavuk Bulyon;Baldo pirinç,Karamelli likör
Customer_426,Papatya çayı;Limon sos;Viski;Kırmızı şarap;Kuru üzüm;Un;Şehriye;Tavuk Bulyon;Patlıcan;Susam;Domates salçası;Meksika fasülyesi;Bezelye;Nohut;Közlenmiş biber;İçli Köfte;Böğürtlen;Köfte harcı,Karamelli likör
Customer_500,Karides;Kırmızı mercimek;Nar ekşisi;Bisküvi;Garnitür;Makarna;Kırmızı mercimek;Karides;Ton balığı;Sarımsak sosu;Soya sosu;Biber salçası;Köfte harcı;Karabiber;Kalamar;Meksika fasülyesi;Yeşil çay;Pizza;Papatya çayı;Fasulye turşu;Ihlamur;Nohut;Kurabiye;Saç kremi,Kinoa tohumu
Customer_182,Garnitür;Patlıcan;Susam;İçli Köfte;Kuru İncir;Ayçiçek yağı;Papatya çayı;Keçi boynuzu;Domates salçası;Sarımsak sosu;Ihlamur;Makarna;Kurabiye;Şehriye;Kuru dut;Karabiber;Nar ekşisi;İçli Köfte;Patates;Susam;Limon sos;Jelibon;Zeytinyağı;Ketçap,Kurutulmuş Kivi
